,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,-3007.0727946664138,450.0,3.7711111111111113,30.76801061630249
1,2.0,-3045.0419281445797,406.0,3.997536945812808,56.871010541915894
2,3.0,-3068.078659541882,366.0,4.262295081967213,78.9259979724884
3,4.0,-3086.341580909027,330.0,4.566666666666666,97.63699865341187
4,5.0,-3108.6013316504377,298.0,4.895973154362416,113.72801089286804
5,6.0,-3125.898209957754,270.0,5.185185185185185,127.6280107498169
6,7.0,-3133.072718844926,244.0,5.508196721311475,139.66401052474976
7,8.0,-3146.4363314991133,220.0,5.85,150.10899901390076
8,9.0,-3159.5997053513174,198.0,6.166666666666667,158.98801064491272
9,10.0,-3170.197662945066,180.0,6.455555555555556,166.82400369644165
10,11.0,-3180.275526283679,162.0,6.827160493827161,173.61801075935364
11,12.0,-3194.720226605355,146.0,7.1438356164383565,179.41901063919067
12,13.0,-3203.0078513343688,132.0,7.53030303030303,184.534010887146
13,14.0,-3213.5784658410403,120.0,7.825,188.97801065444946
14,15.0,-3226.1232397926624,108.0,8.092592592592593,192.92301058769226
15,16.0,-3241.3658107237547,98.0,8.326530612244898,196.3990135192871
16,17.0,-3251.9359681310093,90.0,8.566666666666666,199.47301054000854
17,18.0,-3264.423936434033,82.0,8.768292682926829,202.268000125885
18,19.0,-3279.7061265790207,74.0,9.08108108108108,204.7900104522705
19,20.0,-3291.9394299685023,68.0,9.338235294117647,207.0089976787567
20,21.0,-3311.5361697198546,62.0,9.596774193548388,209.12101101875305
21,22.0,-3330.6946159697727,56.0,9.571428571428571,210.92399787902832
22,23.0,-3342.773043559596,52.0,9.76923076923077,212.53699827194214
23,24.0,-3353.204602381267,48.0,10.041666666666666,213.99499821662903
24,25.0,-3360.6273051076614,44.0,10.318181818181818,215.3929991722107
25,26.0,-3363.8410935781008,40.0,10.925,216.61199855804443
26,27.0,-3369.7568186125714,36.0,11.444444444444445,217.70499873161316
27,28.0,-3370.0226792722833,34.0,11.882352941176471,218.69699835777283
28,29.0,-3370.0507440837823,32.0,12.3125,219.63999795913696
29,30.0,-3371.5561452584743,30.0,12.5,220.51399731636047
30,31.0,-3373.9295587695296,28.0,12.642857142857142,221.32299733161926
31,32.0,-3373.2179209070678,26.0,13.038461538461538,222.1029989719391
32,33.0,-3376.433588872043,24.0,13.416666666666666,222.81299757957458
33,34.0,-3378.894930309682,22.0,13.909090909090908,223.49499893188477
34,35.0,-3381.1403162423812,20.0,14.3,224.09599781036377
35,36.0,-3384.2694141698557,18.0,14.5,224.64599990844727
36,37.0,-3384.3398984852633,18.0,14.833333333333334,225.14199709892273
37,38.0,-3383.397022442133,18.0,14.88888888888889,225.64099764823914
38,39.0,-3385.9402477305453,18.0,14.777777777777779,226.13299798965454
39,40.0,-3386.090575324155,18.0,14.777777777777779,226.6199972629547
40,41.0,-3387.4256143425027,18.0,14.833333333333334,227.10799717903137
41,42.0,-3387.4297508084605,18.0,14.88888888888889,227.5929970741272
42,43.0,-3387.7677062131525,18.0,15.055555555555555,228.07699704170227
43,44.0,-3388.4317860745996,18.0,15.055555555555555,228.56599760055542
44,45.0,-3390.1679775621446,18.0,15.055555555555555,229.05699729919434
45,46.0,-3389.951577805797,18.0,15.055555555555555,229.54699730873108
46,47.0,-3390.6279197734493,18.0,15.166666666666666,230.03299736976624
47,48.0,-3391.1025379929874,18.0,14.944444444444445,230.5639991760254
48,49.0,-3391.070635392665,18.0,14.88888888888889,231.0779995918274
49,50.0,-3391.127780111307,18.0,15.166666666666666,231.57799911499023
50,51.0,-3392.1270892910306,18.0,15.333333333333334,232.0759994983673
51,52.0,-3393.417144402274,18.0,15.444444444444445,232.5629985332489
52,53.0,-3391.7781416013063,18.0,15.333333333333334,233.0540006160736
53,54.0,-3392.8009467749266,18.0,15.166666666666666,233.55500102043152
54,55.0,-3394.195816301656,18.0,15.222222222222221,234.0429971218109
55,56.0,-3394.5103053467988,18.0,15.11111111111111,234.53599786758423
56,57.0,-3394.785474406179,18.0,15.11111111111111,235.03499722480774
