,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,10.271480556683677,426.0,5.4251636491302975,30.915999174118042
1,2.0,8.937537117087032,364.0,5.245304317813092,54.960001945495605
2,3.0,7.804351654757587,310.0,5.049703385516071,73.81799983978271
3,4.0,6.727233307693898,264.0,4.859970120785639,88.87699937820435
4,5.0,5.83473805267839,226.0,4.661218487506196,100.76199865341187
5,6.0,4.919505600515022,194.0,4.48893137873701,110.2909996509552
6,7.0,4.199309671396494,166.0,4.314803441645621,118.06699967384338
7,8.0,3.47089585457914,142.0,4.166703130549654,124.40199875831604
8,9.0,2.896208608768609,122.0,4.00111355384633,129.57799887657166
9,10.0,2.3709196866457947,104.0,3.844735822298496,133.84799909591675
10,11.0,1.9204530264971276,90.0,3.7147531138746706,137.34699940681458
11,12.0,1.5801968783478073,78.0,3.6032526922546353,140.28399991989136
12,13.0,1.2910128632723241,68.0,3.429589263345474,142.78499960899353
13,14.0,1.023308028580242,58.0,3.270718525228924,144.91899871826172
14,15.0,0.7952198282261175,50.0,3.182128165065039,146.74899983406067
15,16.0,0.6231848249914728,44.0,3.0076174242754234,148.28499960899353
16,17.0,0.46282982316337834,38.0,2.766644236174329,149.60299944877625
17,18.0,0.3456426328132644,34.0,2.6429558785660245,150.73499989509583
18,19.0,0.26462297060682183,30.0,2.551655432253478,151.72299981117249
19,20.0,0.19304412085145686,26.0,2.32553721804513,152.592999458313
20,21.0,0.15056546063750112,24.0,2.213164791681142,153.34500098228455
21,22.0,0.11459633565441217,22.0,2.2339751709518465,154.03699851036072
22,23.0,0.11653299094036425,20.0,2.11973215602311,154.66399931907654
23,24.0,0.07873758991042307,18.0,2.1254986934275215,155.23399925231934
24,25.0,0.05329802155310688,16.0,1.91721877799171,155.74999904632568
25,26.0,0.03932238998979466,14.0,1.668851609649407,156.21000027656555
26,27.0,0.025283147991022246,12.0,1.5094808081692082,156.6120002269745
27,28.0,0.01754390718338737,12.0,1.393565160383355,156.96100068092346
28,29.0,0.01078149041687246,12.0,1.4324647277231553,157.30999970436096
29,30.0,0.0045189221196470985,12.0,1.4532980610564887,157.65500020980835
30,31.0,0.002505589367710245,12.0,1.4412504180312986,158.00599932670593
31,32.0,0.0015843085675383646,12.0,1.448703519877663,158.34699988365173
32,33.0,0.0005661715755479672,12.0,1.4614058847119702,158.7009994983673
33,34.0,0.00039742399078609986,12.0,1.4805832263227454,159.05000066757202
34,35.0,0.0003249418462783102,12.0,1.453857138376845,159.39599919319153
35,36.0,0.00030701960842850306,12.0,1.4748935101005884,159.7369990348816
36,37.0,0.0003345330592218788,12.0,1.391755897083602,160.0779993534088
37,38.0,0.00029043369932100273,12.0,1.4544589354740118,160.41899991035461
38,39.0,0.0002740594973502493,12.0,1.3915783798932637,160.7729992866516
39,40.0,0.000264897634507945,12.0,1.3499117132265972,161.1289999485016
40,41.0,0.0002624123071250886,12.0,1.3349503223825507,161.45899629592896
41,42.0,0.0002611225672080679,12.0,1.3351533607729607,161.79199886322021
42,43.0,0.00025983282729104723,12.0,1.335356399163371,162.12899899482727
43,44.0,0.00025854308737402655,12.0,1.335559437553781,162.45999932289124
44,45.0,0.00025725334745700586,12.0,1.3357624759441908,162.78399920463562
45,46.0,0.00025723784131853085,12.0,1.335769794018254,163.11199951171875
46,47.0,0.00025723784131853085,12.0,1.252436460684921,163.43200135231018
47,48.0,0.00025723784131853085,12.0,1.252436460684921,163.75799870491028
