,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,9.508935220474338,410.0,5.31083834704057,29.96700167655945
1,2.0,7.452037128621795,338.0,4.96150468729349,52.08400082588196
2,3.0,5.57425613955863,280.0,4.61878538487413,68.7520010471344
3,4.0,4.170461472872326,234.0,4.26433986717301,81.38800168037415
4,5.0,2.9301987868873196,198.0,3.9801902983267103,91.20100116729736
5,6.0,2.0531763162906524,168.0,3.669511157746252,99.10400223731995
6,7.0,1.319834533639118,144.0,3.3675339725547477,105.39200043678284
7,8.0,0.7902851646672094,126.0,3.1497746533098105,110.5870008468628
8,9.0,0.44816567468330676,110.0,2.889978972127513,114.94500136375427
9,10.0,0.24098185279643572,98.0,2.7010972729122873,118.64300084114075
10,11.0,0.11587709646221817,88.0,2.543498345821768,121.87100148200989
11,12.0,0.05770323767444678,80.0,2.494340392369272,124.71600294113159
12,13.0,0.029323638630330426,74.0,2.429068306639963,127.25000095367432
13,14.0,0.012336803709286887,70.0,2.497085244924801,129.5680012702942
14,15.0,0.004727719323913376,66.0,2.461669750869743,131.78800129890442
15,16.0,0.002155308105619864,62.0,2.399158549134163,133.85000228881836
16,17.0,0.0013126185177694911,60.0,2.342731454659271,135.78800201416016
17,18.0,0.0008010073707504348,58.0,2.1467281639370213,137.6280002593994
18,19.0,0.0006821066723242691,56.0,1.960568322678322,139.42700123786926
19,20.0,0.0005533995371545632,54.0,1.8541596381215062,141.1310007572174
20,21.0,0.00044989764468178565,54.0,1.7233934641041468,142.76200222969055
21,22.0,0.00037460541569114857,54.0,1.5856115581450265,144.3910002708435
22,23.0,0.00033444015638072166,54.0,1.5555320895080986,146.0179991722107
23,24.0,0.00030382539514078205,54.0,1.5297867210060008,147.6490020751953
24,25.0,0.0002907105765195586,54.0,1.546139914519873,149.2740023136139
25,26.0,0.000282207761942391,54.0,1.54193991913954,150.90500211715698
26,27.0,0.00024985923787660563,54.0,1.5727586162257605,152.51400065422058
27,28.0,0.0002399853747744147,54.0,1.5724588484220308,154.1300013065338
28,29.0,0.00022090795756423215,54.0,1.5470223594651449,155.75400066375732
29,30.0,0.00021193905407550586,54.0,1.5704777139612436,157.36100101470947
30,31.0,0.00020582882539880488,54.0,1.5713860055439721,158.9670021533966
31,32.0,0.0001957564406545117,54.0,1.5599396999873594,160.55500197410583
32,33.0,0.00018524312336430705,54.0,1.5718180757717153,162.11800074577332
33,34.0,0.00018183077691096038,54.0,1.5788835459919903,163.67700123786926
34,35.0,0.0001771479592385257,54.0,1.5884371814966671,165.18800163269043
35,36.0,0.0001757871123120397,56.0,1.5825561123303824,166.67700099945068
36,37.0,0.00017514262081552335,56.0,1.583448533201021,168.2449996471405
37,38.0,0.00017433904965076963,54.0,1.587554586231833,169.88800191879272
38,39.0,0.00017391245453841277,56.0,1.5831560593769338,171.4190013408661
39,40.0,0.00017348543102860175,58.0,1.5791559039396685,173.03700041770935
40,41.0,0.00017288819103455748,56.0,1.5813614643669531,174.74900126457214
41,42.0,0.0001723267019893142,56.0,1.5794213391903065,176.3880009651184
42,43.0,0.0001717816125907809,54.0,1.5800029212759181,178.0099995136261
43,44.0,0.00017124847485637784,54.0,1.5781462924424416,179.55500030517578
44,45.0,0.00017088427073934427,54.0,1.5784590473414173,181.07000064849854
45,46.0,0.00017067129140929985,54.0,1.5798294474396612,182.54200148582458
46,47.0,0.00017052661751288737,54.0,1.5820714635840514,184.003000497818
