,iteracion,media_fitness,nro_cromosomas,nro_variables,segundos
0,1.0,-3034.1620410997116,400.0,3.9275,28.4510018825531
1,2.0,-3084.050595952005,320.0,4.390625,48.52301597595215
2,3.0,-3108.7488479308477,256.0,4.78515625,63.004013538360596
3,4.0,-3135.9334863705394,206.0,5.242718446601942,73.39101338386536
4,5.0,-3156.502446124763,166.0,5.668674698795181,81.01301336288452
5,6.0,-3167.0158025161672,134.0,6.134328358208955,86.7820143699646
6,7.0,-3185.1233548099444,108.0,6.583333333333333,91.1310133934021
7,8.0,-3203.327044151867,88.0,6.875,94.44301342964172
8,9.0,-3228.572136009714,72.0,7.486111111111111,97.05600047111511
9,10.0,-3249.842825327174,58.0,7.982758620689655,99.09301328659058
10,11.0,-3281.907762910049,48.0,8.645833333333334,100.71300554275513
11,12.0,-3303.3679447400596,40.0,9.0,102.0180013179779
12,13.0,-3337.407403937502,32.0,9.59375,103.11100053787231
13,14.0,-3355.055344597955,26.0,10.346153846153847,103.95700025558472
14,15.0,-3364.9830158222626,22.0,10.954545454545455,104.65300226211548
15,16.0,-3370.492681679223,18.0,11.61111111111111,105.23699998855591
16,17.0,-3371.232211911195,16.0,12.0625,105.72200131416321
17,18.0,-3373.245548419932,14.0,12.785714285714286,106.15200209617615
18,19.0,-3376.873846838888,12.0,13.333333333333334,106.53100180625916
19,20.0,-3382.0033216942984,10.0,13.8,106.8590018749237
20,21.0,-3382.8535128417197,8.0,14.0,107.13400030136108
21,22.0,-3384.425951114288,8.0,14.125,107.34900164604187
22,23.0,-3385.6195284042233,8.0,14.375,107.57900023460388
23,24.0,-3385.921093243123,8.0,14.625,107.79299998283386
24,25.0,-3386.829861852123,8.0,14.625,108.00800013542175
25,26.0,-3387.903105274908,8.0,14.375,108.21900010108948
26,27.0,-3388.2263032366127,8.0,14.375,108.4390001296997
27,28.0,-3388.6603360064546,8.0,14.125,108.66600131988525
28,29.0,-3389.2775928446554,8.0,14.0,108.89400291442871
29,30.0,-3389.557389439791,8.0,13.75,109.11100220680237
30,31.0,-3389.7996737978933,8.0,13.625,109.33100533485413
31,32.0,-3389.9060326137637,8.0,13.375,109.5540018081665
32,33.0,-3389.942963386694,8.0,13.25,109.75800037384033
33,34.0,-3389.979894159624,8.0,13.125,109.97000050544739
34,35.0,-3390.016824932554,8.0,13.0,110.17300009727478
35,36.0,-3390.016824932554,8.0,13.0,110.37599992752075
36,37.0,-3390.016824932554,8.0,13.0,110.58200120925903
37,38.0,-3390.016824932554,8.0,13.0,110.78600025177002
38,39.0,-3390.016824932554,8.0,13.0,110.98500037193298
39,40.0,-3390.016824932554,8.0,13.0,111.1879997253418
40,41.0,-3390.016824932554,8.0,13.0,111.39600276947021
41,42.0,-3390.016824932554,8.0,13.0,111.60300016403198
